Lat	Lon	Altitude	vthed	vphid	vpsi0d	vthetadg	vphidg	vpsidg (rad)	vel x	vel y	vel z	psidot	thetadot	phidot	GCC X	GCC Y	GCC Z	psi	theta	phi	vel x	vel y	vel z
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
0	0	1.43256	0	0	0	0	0	0	0	0	0	0	0	0	6.38E+06	0	0	0	-1.5708	0	0	0	0
